,cid,url,name,place_id
0,ahnhkkzzoqempmomfkynpvzwzgdgpr,https://ahnhkkzzoqempmomfkynpvzwzgdgpr-qd4vhbvyra-ew.a.run.app,kebab shahid,ChIJS6PPx8uvYQ0R3WO2UEbm4Ck
1,bmirjtksmbmnudlmvoarghotnookpn,https://bmirjtksmbmnudlmvoarghotnookpn-qd4vhbvyra-ew.a.run.app,Pizzes Va De Bò,ChIJNTyalK-vYQ0RDQKP3klOVdw
2,dnxvdpcvtacwikeqfrnctkswpgtpov,https://dnxvdpcvtacwikeqfrnctkswpgtpov-qd4vhbvyra-ew.a.run.app,Cerveseria Ca Blau,ChIJvxtMejmvYQ0RA-DSAy-Z7Hs
3,dpjmjlzwnwewpzbtfynzjchbzgqfjw,https://dpjmjlzwnwewpzbtfynzjchbzgqfjw-qd4vhbvyra-ew.a.run.app,Pub Espai,ChIJkdgCOa6vYQ0Rj3h9F4cJHRQ
4,ipyssqhfkmvfmgndojnmugkqwsrpvm,https://ipyssqhfkmvfmgndojnmugkqwsrpvm-qd4vhbvyra-ew.a.run.app,Pub cafetería Spay,ChIJ25yHVgCvYQ0Rp2IQPkG2HqI
5,jzrrftuwxritvlptgolrjdjpgoevuf,https://jzrrftuwxritvlptgolrjdjpgoevuf-qd4vhbvyra-ew.a.run.app,Manchego,ChIJG36eb0mvYQ0RP7O0QZ9Smv4
6,jzvgcnimtbeqoowlnozdydoarqaium,https://jzvgcnimtbeqoowlnozdydoarqaium-qd4vhbvyra-ew.a.run.app,Capri Pub,ChIJD9oTdMevYQ0RzLo6topByaw
7,lfegcakvoewtzslfhrkxnuidafvgso,https://lfegcakvoewtzslfhrkxnuidafvgso-qd4vhbvyra-ew.a.run.app,A Casiña da Ponte,ChIJ4XXCdAC_MQ0RwsLf9Za9Rjc
8,lmlfxzplhpbgnvrajuxkpfarbpigqs,https://lmlfxzplhpbgnvrajuxkpfarbpigqs-qd4vhbvyra-ew.a.run.app,Bar Molinet,ChIJe4yrV6WvYQ0RWmBQEEWnFHc
9,nifgnalqjoymegybrhwwghxyfneujr,https://nifgnalqjoymegybrhwwghxyfneujr-qd4vhbvyra-ew.a.run.app,Llar de jubilades i jubilats de Guadassuar,ChIJa4gWJLGvYQ0RQKzWHQz1HMc
10,ofbedrzmtmurntjtrnjcredlexxzfq,https://ofbedrzmtmurntjtrnjcredlexxzfq-qd4vhbvyra-ew.a.run.app,Cantina,ChIJUeXGWImvYQ0Rs3YYefPGC4c
11,oheeudvzcwrugaykdjmauaspxjwsyp,https://oheeudvzcwrugaykdjmauaspxjwsyp-qd4vhbvyra-ew.a.run.app,Pub Richi,ChIJPUXUe_-vYQ0RH2qzPXL8nOM
12,omertcysphrrdmongjjfpeoljaacib,https://omertcysphrrdmongjjfpeoljaacib-qd4vhbvyra-ew.a.run.app,ENTREFOGONS GUADASUAR,ChIJV-p2wq-vYQ0RoaWrJRxw7Rw
13,qttvdzbdrzlgngqqkoyafdmtqpgdmc,https://qttvdzbdrzlgngqqkoyafdmtqpgdmc-qd4vhbvyra-ew.a.run.app,Cerveseria Quintana,ChIJlXUgRLCvYQ0R0gFFmLqZYVE
14,rearkeevsjzabspgjxufiedlmklcha,https://rearkeevsjzabspgjxufiedlmklcha-qd4vhbvyra-ew.a.run.app,Polideportivo Municipal Guadassuar,ChIJz8ThN6WvYQ0RLpWGlj0lW9k
15,rxlayiiispbzejkkkjmtvxbjyqmkbc,https://rxlayiiispbzejkkkjmtvxbjyqmkbc-qd4vhbvyra-ew.a.run.app,Gica,ChIJk1BkBACvYQ0RqMlEJq5faoI
16,sbiprujzwnqmeodqkvkvpmmsuwiprr,https://sbiprujzwnqmeodqkvkvpmmsuwiprr-qd4vhbvyra-ew.a.run.app,Restaurant El Catòlic,ChIJT1ZJPAevYQ0Rp8BPZIHDrk8
17,swzekbqcqawuiqhfaalpzybgxsodbd,https://swzekbqcqawuiqhfaalpzybgxsodbd-qd4vhbvyra-ew.a.run.app,Pizzería Da Vito,ChIJAzTRpAOvYQ0R-xfqnXr6v34
18,utlgxghunuylyupkgwlkbpkrjdrmms,https://utlgxghunuylyupkgwlkbpkrjdrmms-qd4vhbvyra-ew.a.run.app,Pub MV,ChIJv4VCtwKvYQ0RA-2ylyYB2U8
19,vsfkbpjddkketozhjxeaugfbppfrtd,https://vsfkbpjddkketozhjxeaugfbppfrtd-qd4vhbvyra-ew.a.run.app,Forn Sant Roc,ChIJdc4VoLavYQ0RlnFvnuqKXo0
20,whzbyiosmbhhykuewzvoxdwuttdysl,https://whzbyiosmbhhykuewzvoxdwuttdysl-qd4vhbvyra-ew.a.run.app,Azúmara Café & Bar,ChIJn6Zp-_--MQ0ROgzWShXfxf8
21,xneoklxyyczbzfhjxmgydmmemerhzs,https://xneoklxyyczbzfhjxmgydmmemerhzs-qd4vhbvyra-ew.a.run.app,Bar Poliesportiu Guadassuar,ChIJQVsqfgCvYQ0RwVySFQNQwOA
